Buy,ID,Gender,Status,Children,Est_Income,Age,MARITAL STATUS,PROFESSION,EDUCATION,BUYER CATEGORY,LTV,DEMOGRAPHIC CLUSTER,ONLINE BEHAVIOR CLUSTER,BUYING BEHAVIOR CLUSTER,Retailer country,Retailer type,Product line,Product type,Product,Year,Quarter,Gross margin,State
Yes,35,F,S,0,78851.3,48.373333,S,Financial analyst,College,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 60,2021,Q1 2021,0.29165733,California
No,36,F,S,1,17540.7,62.786667,S,Private Sector,High School,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 100,2021,Q1 2021,0.30126435,Arizona
Yes,37,F,M,0,83891.9,61.02,U,Not employed,Post College,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 200,2021,Q1 2021,0.31477575,California
Yes,38,F,M,2,28220.8,38.766667,U,Engineer,Post College,Repeat Buyer,MEDIUM VALUE,MARRIED MEN,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Outdoors Shop,Mountaineering Equipment,Safety,Granite Climbing Helmet,2021,Q1 2021,0.24468085,Oregon
No,40,F,S,0,28589.1,15.6,M,Accountant,College,Product Viewer,HIGH VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Mountaineering Equipment,Safety,Husky Harness,2021,Q1 2021,0.28363339,Nevada
No,42,F,M,2,5237.63,48.753333,M,Professor,College,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Mountaineering Equipment,Safety,Husky Harness Extreme,2021,Q1 2021,0.47843327,California
Yes,45,M,S,2,89459.9,53.28,U,Professor,Post College,Buyer,MEDIUM VALUE,MARRIED MEN,BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Outdoors Shop,Mountaineering Equipment,Safety,Granite Signal Mirror,2021,Q1 2021,0.51422387,Oregon
Yes,48,F,S,1,13576.5,39.426667,M,Private Sector,High School,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Carabiner,2021,Q1 2021,0.4787234,California
No,52,F,M,2,67388.0,53.12,M,Doctor,College,Repeat Buyer,HIGH VALUE,HIGH INCOME FAMILY,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Belay,2021,Q1 2021,0.47613982,Oregon
No,53,F,M,1,57063.0,52.333333,M,Self Employed,College,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Pulley,2021,Q1 2021,0.50217037,Washington
No,54,F,M,2,84166.1,54.013333,S,Self Employed,Post College,Product Viewer,HIGH VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Firefly Climbing Lamp,2021,Q1 2021,0.42768755,Arizona
No,60,F,S,1,7737.94,42.666667,S,Doctor,College,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Firefly Charger,2021,Q1 2021,0.56498054,Nevada
Yes,61,M,S,2,100020.0,50.0,M,Scientist,Post College,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Firefly Rechargeable Battery,2021,Q1 2021,0.58984375,California
No,62,F,M,2,45287.6,29.026667,S,Pharmacist,Post College,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Chalk Bag,2021,Q1 2021,0.51643991,Oregon
No,63,F,M,2,59613.1,34.32,U,Financial analyst,College,Visitor,MEDIUM VALUE,MARRIED MEN,VISITOR,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Outdoors Shop,Mountaineering Equipment,Tools,Granite Ice,2021,Q1 2021,0.48178191,California
Yes,65,F,S,1,16326.7,50.613333,U,Nursing,College,Repeat Buyer,MEDIUM VALUE,MARRIED WOMEN,REPEAT BUYER,ONLINE MEDIUM VALUE NON OFFER SEEKER,United States,Outdoors Shop,Mountaineering Equipment,Tools,Granite Hammer,2021,Q1 2021,0.2434158,Washington
No,68,F,S,2,9559.78,51.38,U,Doctor,College,Product Viewer,LOW VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Mountaineering Equipment,Tools,Granite Shovel,2021,Q1 2021,0.33699948,Arizona
No,71,F,M,2,42031.8,50.753333,U,Engineer,College,Product Viewer,HIGH VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Outdoors Shop,Mountaineering Equipment,Tools,Granite Grip,2021,Q1 2021,0.49020619,Oregon
Yes,73,F,M,2,83284.1,28.42,S,Pharmacist,College,Repeat Buyer,HIGH VALUE,MIDDLE INCOME SINGLE,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Outdoors Shop,Mountaineering Equipment,Tools,Granite Axe,2021,Q1 2021,0.49166667,Arizona
Yes,74,M,M,1,39229.1,26.26,S,Pharmacist,Post College,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Mountaineering Equipment,Tools,Granite Extreme,2021,Q1 2021,0.38138298,Nevada
Yes,75,F,S,0,68427.4,42.393333,U,Professor,College,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Personal Accessories,Watches,Mountain Man Extreme,2021,Q1 2021,0.5888535,California
No,77,M,S,0,3601.71,49.266667,U,Private Sector,High School,Product Viewer,HIGH VALUE,MIDDLE INCOME SCHOOL EDUCATED,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Personal Accessories,Eyewear,Polar Sun,2021,Q1 2021,0.56760471,Washington
No,78,F,M,0,72642.6,27.646667,M,Doctor,College,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Personal Accessories,Eyewear,Polar Ice,2021,Q1 2021,0.51943907,Oregon
Yes,79,F,S,0,98716.3,55.66,M,Nursing,College,Product Viewer,HIGH VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Outdoors Shop,Personal Accessories,Knives,Edge Extreme,2021,Q1 2021,0.28895209,Arizona
Yes,80,F,S,2,66182.7,62.48,U,Engineer,College,Product Viewer,LOW VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Personal Accessories,Knives,Bear Survival Edge,2021,Q1 2021,0.48126801,California
No,81,F,M,2,84789.3,50.433333,S,Doctor,Post College,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Personal Accessories,Navigation,Glacier GPS Extreme,2021,Q1 2021,0.4779303,Oregon
No,83,F,M,2,35976.5,48.853333,M,Engineer,College,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Outdoor Protection,Insect Repellents,BugShield Extreme,2021,Q1 2021,0.63221884,Oregon
Yes,84,F,M,0,32703.1,64.92,M,Financial analyst,Post College,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Outdoors Shop,Outdoor Protection,Sunscreen,Sun Shelter Stick,2021,Q1 2021,0.59587629,Arizona
No,85,F,M,1,77129.1,61.846667,M,Engineer,College,Repeat Buyer,HIGH VALUE,MARRIED WOMEN,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Outdoors Shop,Outdoor Protection,First Aid,Compact Relief Kit,2021,Q1 2021,0.60070985,Nevada
Yes,86,F,M,2,8204.72,52.973333,M,Doctor,College,Product Viewer,LOW VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Outdoors Shop,Outdoor Protection,First Aid,Aloe Relief,2021,Q1 2021,0.63288719,Oregon
Yes,87,M,M,1,97180.4,50.6,U,Not employed,College,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Personal Accessories,Watches,Infinity,2021,Q1 2021,0.47472727,California
Yes,88,F,M,0,80405.1,60.226667,S,Self Employed,Post College,Repeat Buyer,MEDIUM VALUE,HIGH INCOME SINGLE,REPEAT BUYER,ONLINE MEDIUM VALUE NON OFFER SEEKER,United States,Golf Shop,Personal Accessories,Watches,TX,2021,Q1 2021,0.46098543,Arizona
No,89,F,S,2,38280.0,33.74,U,Not employed,College,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Golf Shop,Personal Accessories,Watches,Legend,2021,Q1 2021,0.44401666,Washington
Yes,90,M,S,0,64136.6,61.106667,S,Engineer,College,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Personal Accessories,Watches,Kodiak,2021,Q1 2021,0.44272652,Oregon
No,92,F,M,2,45429.7,61.713333,S,Professor,College,Repeat Buyer,HIGH VALUE,MIDDLE INCOME SINGLE,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Golf Shop,Personal Accessories,Eyewear,Capri,2021,Q1 2021,0.34125326,Arizona
No,94,F,S,0,25285.5,53.986667,U,Scientist,College,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Personal Accessories,Eyewear,Cat Eye,2021,Q1 2021,0.35051311,Oregon
No,95,F,M,2,77551.1,33.6,S,Professor,Post College,Product Viewer,HIGH VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Personal Accessories,Eyewear,Dante,2021,Q1 2021,0.36,California
Yes,96,F,M,0,38538.4,12.326667,U,Doctor,College,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Personal Accessories,Eyewear,Fairway,2021,Q1 2021,0.40496278,Arizona
Yes,97,F,S,0,69350.5,57.42,M,Engineer,College,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Personal Accessories,Eyewear,Inferno,2021,Q1 2021,0.39374952,Oregon
Yes,104,M,S,2,43634.5,21.78,S,Not employed,High School,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Personal Accessories,Eyewear,Maximus,2021,Q1 2021,0.50874531,California
Yes,108,F,S,1,13109.1,62.606667,M,Not employed,College,Product Viewer,MEDIUM VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Golf Shop,Personal Accessories,Eyewear,Trendi,2021,Q1 2021,0.39542744,Nevada
Yes,109,M,S,1,92647.5,56.046667,S,Private Sector,High School,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Golf Shop,Personal Accessories,Eyewear,Zone,2021,Q1 2021,0.33192182,Washington
Yes,110,F,S,2,21021.6,62.753333,U,Doctor,Post College,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Personal Accessories,Knives,Max Gizmo,2021,Q1 2021,0.53979058,California
Yes,111,M,S,0,74460.7,55.34,S,Financial analyst,Post College,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Personal Accessories,Knives,Pocket Gizmo,2021,Q1 2021,0.59836066,Arizona
No,114,F,S,2,28787.4,41.666667,U,Not employed,College,Product Viewer,LOW VALUE,MARRIED MEN,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Personal Accessories,Binoculars,Ranger Vision,2021,Q1 2021,0.5350625,California
No,117,M,M,1,13091.6,59.126667,S,Engineer,College,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Personal Accessories,Navigation,Trail Master,2021,Q1 2021,0.34767123,Arizona
No,120,F,M,2,62061.8,45.92,S,Financial analyst,Post College,Product Viewer,MEDIUM VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Golf Shop,Golf Equipment,Irons,Hailstorm Steel Irons,2021,Q1 2021,0.44039771,Oregon
Yes,121,F,M,1,20550.9,22.12,M,Scientist,Post College,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Irons,Hailstorm Titanium Irons,2021,Q1 2021,0.43751289,Oregon
No,124,M,M,2,1765.41,18.766667,M,Engineer,College,Product Viewer,HIGH VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Golf Shop,Golf Equipment,Irons,Lady Hailstorm Steel Irons,2021,Q1 2021,0.44535634,Arizona
No,127,F,S,2,19131.1,56.186667,U,Accountant,College,Product Viewer,LOW VALUE,MARRIED WOMEN,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Irons,Lady Hailstorm Titanium Irons,2021,Q1 2021,0.44955007,California
No,130,F,S,2,83073.7,39.553333,S,Nursing,Post College,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Woods,Hailstorm Titanium Woods Set,2021,Q1 2021,0.42250716,Oregon
Yes,133,M,M,2,42750.3,50.493333,M,Not employed,High School,Product Viewer,HIGH VALUE,MARRIED WOMEN,PROBABLE BUYER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Golf Shop,Golf Equipment,Woods,Hailstorm Steel Woods Set,2021,Q1 2021,0.50056886,California
No,135,F,S,2,2842.55,45.92,M,Engineer,Post College,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Woods,Lady Hailstorm Titanium Woods Set,2021,Q1 2021,0.48311609,Arizona
No,136,M,M,2,22358.1,52.626667,M,Self Employed,High School,Product Viewer,LOW VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Golf Shop,Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,2021,Q1 2021,0.44845066,Washington
Yes,138,M,M,0,47870.8,27.26,M,Engineer,Post College,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Putters,Course Pro Putter,2021,Q1 2021,0.51695502,Oregon
No,139,F,S,2,6440.46,52.646667,M,Unemployed,High School,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Golf Shop,Golf Equipment,Putters,Blue Steel Putter,2021,Q1 2021,0.51310308,Arizona
No,140,F,S,0,7325.5,36.92,S,Accountant,College,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Golf Shop,Golf Equipment,Putters,Blue Steel Max Putter,2021,Q1 2021,0.45933212,Oregon
No,142,M,M,2,28766.9,46.84,M,Not employed,College,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,2021,Q1 2021,0.71901566,California
No,148,M,M,2,91272.2,25.033333,M,Financial analyst,Post College,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Umbrella,2021,Q1 2021,0.50059634,Oregon
No,154,M,S,0,65000.0,45.653333,S,Engineer,College,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Golf Bag,2021,Q1 2021,0.61130484,Oregon
No,158,M,M,2,1406.05,19.306667,M,Professor,College,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Gloves,2021,Q1 2021,0.63399209,Oregon
No,160,F,S,0,73228.3,62.0,S,Financial analyst,Post College,Product Viewer,HIGH VALUE,HIGH INCOME SINGLE,PROBABLE BUYER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Department Store,Camping Equipment,Cooking Gear,TrailChef Canteen,2021,Q1 2021,0.49600912,Oregon
No,161,F,S,2,76231.9,63.806667,U,Financial analyst,College,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,2021,Q1 2021,0.30434381,Oregon
No,166,M,M,1,64792.3,52.146667,U,Engineer,College,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Camping Equipment,Cooking Gear,TrailChef Cup,2021,Q1 2021,0.75675458,Oregon
Yes,169,F,S,0,93322.1,40.313333,S,Self Employed,College,Product Viewer,HIGH VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Department Store,Camping Equipment,Cooking Gear,TrailChef Cook Set,2021,Q1 2021,0.3388567,Oregon
No,174,M,M,1,63437.3,63.653333,S,Unemployed,High School,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,2021,Q1 2021,0.34754797,Nevada
Yes,178,M,M,2,49910.7,51.52,S,Lawyer,College,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Camping Equipment,Cooking Gear,TrailChef Single Flame,2021,Q1 2021,0.26099426,Washington
No,180,M,M,0,76161.4,44.573333,M,Engineer,Post College,Repeat Buyer,MEDIUM VALUE,MARRIED MEN,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Department Store,Camping Equipment,Cooking Gear,TrailChef Kettle,2021,Q1 2021,0.49684741,California
Yes,181,F,M,2,55860.0,14.573333,S,Pharmacist,College,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Department Store,Camping Equipment,Cooking Gear,TrailChef Utensils,2021,Q1 2021,0.46552646,California
No,182,F,S,1,12686.0,64.8,M,Pharmacist,College,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Camping Equipment,Tents,Star Dome,2021,Q1 2021,0.35277197,California
No,190,M,M,2,57360.8,53.253333,S,Doctor,College,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Camping Equipment,Tents,Star Gazer 2,2021,Q1 2021,0.28293788,California
No,191,M,M,0,92414.7,45.513333,M,Engineer,College,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Camping Equipment,Tents,Star Gazer 6,2021,Q1 2021,0.37426776,Nevada
No,192,M,M,1,60102.7,42.14,U,Professor,Post College,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Camping Equipment,Tents,Star Peg,2021,Q1 2021,0.5,Oregon
No,194,F,M,2,17888.7,55.0,M,Private Sector,High School,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Camping Equipment,Sleeping Bags,Hibernator Lite,2021,Q1 2021,0.29145017,Washington
No,195,F,S,1,12526.3,53.553333,S,Self Employed,Post College,Product Viewer,HIGH VALUE,HIGH INCOME SINGLE,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Camping Equipment,Sleeping Bags,Hibernator,2021,Q1 2021,0.3769019,California
Yes,198,F,S,2,14578.8,60.933333,S,Self Employed,Post College,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,2021,Q1 2021,0.5440107,California
Yes,201,M,M,0,78572.2,42.346667,S,Scientist,College,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Camping Equipment,Sleeping Bags,Hibernator Pad,2021,Q1 2021,0.51382196,Oregon
Yes,203,F,M,2,48238.8,34.706667,S,Financial analyst,College,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Department Store,Camping Equipment,Sleeping Bags,Hibernator Pillow,2021,Q1 2021,0.46298346,California
